ALABAMA,Alabama,AL,Ala.
ALASKA,Alaska,AK,Alaska
ARIZONA,Arizona,AZ,Ariz.
ARKANSAS,Arkansas,AR,Ark.
CALIFORNIA,California,CA,Calif.
COLORADO,Colorado,CO,Colo.
CONNECTICUT,Connecticut,CT,Conn.
DELAWARE,Delaware,DE,Del.
FLORIDA,Florida,FL,Fla.
GEORGIA,Georgia,GA,Ga.
HAWAII,Hawaii,HI,Hawaii
IDAHO,Idaho,ID,Idaho
ILLINOIS,Illinois,IL,Ill.
INDIANA,Indiana,IN,Ind.
IOWA,Iowa,IA,Iowa
KANSAS,Kansas,KS,Kan.
KENTUCKY,Kentucky,KY,Ky.
LOUISIANA,Louisiana,LA,La.
MAINE,Maine,ME,Maine
MARYLAND,Maryland,MD,Md.
MASSACHUSETTS,Massachusetts,MA,Mass.
MICHIGAN,Michigan,MI,Mich.
MINNESOTA,Minnesota,MN,Minn.
MISSISSIPPI,Mississippi,MS,Miss.
MISSOURI,Missouri,MO,Mo.
MONTANA,Montana,MT,Mont.
NEBRASKA,Nebraska,NE,Neb.
NEVADA,Nevada,NV,Nev.
NEW HAMPSHIRE,New Hampshire,NH,N.H.
NEW JERSEY,New Jersey,NJ,N.J.
NEW MEXICO,New Mexico,NM,N.M.
NEW YORK,New York,NY,N.Y.
NORTH CAROLINA,North Carolina,NC,N.C.
NORTH DAKOTA,North Dakota,ND,N.D.
OHIO,Ohio,OH,Ohio
OKLAHOMA,Oklahoma,OK,Okla.
OREGON,Oregon,OR,Ore.
PENNSYLVANIA,Pennsylvania,PA,Pa.
RHODE ISLAND,Rhode Island,RI,R.I.
SOUTH CAROLINA,South Carolina,SC,S.C.
SOUTH DAKOTA,South Dakota,SD,S.D.
TENNESSEE,Tennessee,TN,Tenn.
TEXAS,Texas,TX,Texas
UTAH,Utah,UT,Utah
VERMONT,Vermont,VT,Vt.
VIRGINIA,Virginia,VA,Va.
WASHINGTON,Washington,WA,Wash.
WEST VIRGINIA,West Virginia,WV,W.Va.
WISCONSIN,Wisconsin,WI,Wis.
WYOMING,Wyoming,WY,Wyo.
