STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        403;20190101;-999;-999;-999;    3;   2.2;   8;    0.633;   0;   7.2;   8.0; 1007.15;    6.4;   82.33;    8.5;    3.1;    2.1;eor
        403;20190102;-999;-999;-999;    3;   0.1;   7;    1.250;   0;   4.1;   4.3; 1013.65;    1.8;   61.83;    3.5;   -1.5;   -3.6;eor
        403;20190103;-999;-999;-999;    3;   0.0;   7;    0.000;   0;   4.2;   4.9; 1022.47;   -0.4;   82.58;    1.5;   -2.5;   -5.2;eor
        403;20190104;-999;-999;-999;    3;   1.9;   6;    0.000;   0;   7.6;   6.8; 1017.32;    1.8;   97.71;    4.7;   -1.0;   -1.5;eor
        403;20190105;-999;-999;-999;    3;   0.0;   8;    0.433;   0;   7.3;   8.7; 1009.96;    6.0;   92.63;    7.9;    2.4;    0.1;eor
        403;20190106;-999;-999;-999;    3;   0.2;   8;    0.633;   0;   6.7;   6.1; 1017.64;    2.0;   87.04;    3.3;    0.0;   -2.2;eor
        403;20190107;-999;-999;-999;    3;   6.5;   6;    0.000;   0;   7.6;   7.6; 1014.93;    3.0;   99.13;    5.6;   -0.3;   -2.4;eor
        403;20190108;-999;-999;-999;    3;  10.2;   8;    0.000;   0;   7.3;   8.1;  991.73;    4.6;   95.50;    6.0;    2.1;    1.7;eor
        403;20190109;-999;-999;-999;    3;   2.3;   8;    0.000;   0;   7.9;   6.7;  996.97;    1.9;   95.00;    2.9;    1.0;    0.4;eor
        403;20190110;-999;-999;-999;    3;   0.0;   8;    0.467;   0;   7.3;   5.5; 1012.08;    0.9;   83.13;    2.0;    0.0;   -0.6;eor
        403;20190111;-999;-999;-999;    3;   1.5;   8;    0.000;   0;   7.8;   6.9; 1006.65;    2.2;   95.25;    5.4;   -0.2;   -0.5;eor
        403;20190112;-999;-999;-999;    3;   3.8;   6;    0.000;   0;   7.9;   7.9; 1000.15;    4.9;   90.88;    5.8;    4.0;    3.4;eor
        403;20190113;-999;-999;-999;    3;   4.0;   8;    0.000;   0;   7.8;   8.9;  985.71;    6.1;   94.21;    7.9;    5.0;    4.4;eor
        403;20190114;-999;-999;-999;    3;   0.0;   8;    3.833;   0;   4.0;   4.5;  991.11;    2.5;   61.63;    6.0;    0.2;   -1.0;eor
        403;20190115;-999;-999;-999;    3;   1.6;   8;    0.000;   0;   7.4;   7.0;  999.09;    3.9;   85.33;    6.5;    1.3;    0.0;eor
        403;20190116;-999;-999;-999;    3;   0.0;   6;    0.000;   0;   7.8;   7.9;  996.63;    6.1;   83.58;    7.0;    2.8;    1.0;eor
        403;20190117;-999;-999;-999;    3;   3.3;   8;    1.817;   0;   7.2;   6.6;  989.95;    4.4;   79.04;    7.3;    1.7;    0.7;eor
        403;20190118;-999;-999;-999;    3;   0.0;   7;    7.733;   1;   5.0;   5.1; 1005.23;    0.4;   80.71;    2.1;   -1.4;   -3.1;eor
        403;20190119;-999;-999;-999;    3;   0.0;   0;    6.100;   0;   5.1;   5.1; 1010.10;   -0.2;   84.88;    3.3;   -4.2;   -6.4;eor
        403;20190120;-999;-999;-999;    3;   0.0;   0;    7.583;   0;   2.7;   4.6; 1010.07;   -2.7;   91.83;    1.9;   -6.2;   -8.4;eor
        403;20190121;-999;-999;-999;    3;   0.0;   7;    2.567;   0;   6.7;   4.5; 1011.70;   -3.5;   94.17;   -2.0;   -4.9;   -6.8;eor
        403;20190122;-999;-999;-999;    3;   0.0;   7;    6.067;   0;   2.9;   4.0; 1002.30;   -3.5;   86.29;    0.7;   -5.6;   -7.7;eor
        403;20190123;-999;-999;-999;    3;   0.0;   7;    2.900;   0;   6.6;   3.6;  996.22;   -5.5;   89.04;   -3.5;   -6.8;   -7.3;eor
        403;20190124;-999;-999;-999;    3;   0.0;   7;    0.000;   0;   7.9;   3.6; 1002.60;   -3.9;   78.38;   -3.3;   -4.5;   -4.2;eor
        403;20190125;-999;-999;-999;    3;   0.7;   7;    1.367;   0;   7.5;   3.8; 1004.30;   -3.7;   81.42;   -2.3;   -4.6;   -4.5;eor
        403;20190126;-999;-999;-999;    3;   5.0;   8;    0.000;   1;   8.0;   6.4;  992.63;    0.6;   98.00;    3.6;   -3.2;   -3.3;eor
        403;20190127;-999;-999;-999;    3;   2.7;   6;    0.000;   0;   7.3;   7.6;  980.55;    4.0;   93.42;    6.0;    2.4;    0.8;eor
        403;20190128;-999;-999;-999;    3;   1.8;   8;    4.267;   0;   6.8;   6.9;  981.84;    3.0;   90.79;    5.7;    1.1;   -1.1;eor
        403;20190129;-999;-999;-999;    3;   0.0;   7;    0.717;   0;   6.8;   6.1;  992.87;    0.9;   93.71;    3.2;   -2.0;   -4.1;eor
        403;20190130;-999;-999;-999;    3;   0.0;   0;    5.967;   0;   5.1;   4.9;  990.88;   -0.5;   83.38;    3.1;   -3.0;   -4.9;eor
        403;20190131;-999;-999;-999;    3;   0.0;   0;    2.617;   0;   6.0;   5.0;  990.59;    0.1;   82.63;    4.7;   -2.2;   -4.8;eor
        403;20190201;-999;-999;-999;    3;   1.3;   8;    0.000;   0;   5.5;   5.1;  987.02;   -0.7;   87.25;    1.9;   -3.6;   -5.9;eor
        403;20190202;-999;-999;-999;    3;   1.1;   8;    0.000;   0;   8.0;   6.3;  987.77;    0.7;   98.13;    1.4;    0.3;   -0.1;eor
        403;20190203;-999;-999;-999;    3;   0.0;   6;    0.000;   0;   7.6;   6.4; 1003.76;    1.0;   97.29;    1.8;   -0.5;   -2.0;eor
        403;20190204;-999;-999;-999;    3;   0.1;   7;    7.783;   0;   3.8;   5.5; 1016.62;    1.0;   85.50;    6.0;   -1.7;   -3.7;eor
        403;20190205;-999;-999;-999;    3;   0.0;   7;    0.000;   0;   7.6;   5.6; 1016.05;    2.1;   78.58;    3.7;   -0.3;   -2.1;eor
        403;20190206;-999;-999;-999;    3;   0.0;   0;    6.783;   0;   7.0;   5.7; 1014.57;    3.1;   75.63;    7.0;   -0.2;   -3.2;eor
        403;20190207;-999;-999;-999;    3;   0.2;   6;    0.683;   0;   6.5;   5.1; 1003.02;    2.3;   71.04;    5.4;   -0.5;   -2.5;eor
        403;20190208;-999;-999;-999;    3;   0.0;   4;    3.633;   0;   5.1;   6.8; 1003.30;    5.2;   76.75;    8.3;    1.9;   -1.9;eor
        403;20190209;-999;-999;-999;    3;   0.9;   8;    3.433;   0;   6.2;   6.7;  995.14;    7.5;   65.29;   11.1;    5.0;    2.7;eor
        403;20190210;-999;-999;-999;    3;  10.6;   8;    0.000;   0;   6.8;   8.4;  988.25;    6.2;   88.21;    8.5;    3.7;   -0.1;eor
        403;20190211;-999;-999;-999;    3;   0.2;   6;    1.750;   0;   5.5;   6.3;  996.55;    4.3;   76.33;    7.4;    0.9;   -0.1;eor
        403;20190212;-999;-999;-999;    3;   0.1;   6;    5.383;   0;   5.6;   5.3; 1016.93;    3.1;   70.29;    5.8;    1.0;   -2.5;eor
        403;20190213;-999;-999;-999;    3;   0.3;   6;    0.000;   0;   8.0;   8.7; 1021.63;    6.1;   91.83;    8.0;    3.6;    2.6;eor
        403;20190214;-999;-999;-999;    3;   0.0;   0;    6.100;   0;   3.8;   7.8; 1024.85;    6.2;   82.50;   10.6;   -0.2;   -3.2;eor
        403;20190215;-999;-999;-999;    3;   0.0;   0;    9.633;   0;   1.8;   5.6; 1023.23;    4.5;   72.17;   14.0;   -2.0;   -4.1;eor
        403;20190216;-999;-999;-999;    3;   0.0;   0;    9.783;   0;   1.0;   5.8; 1016.30;    5.9;   68.38;   16.6;   -1.3;   -4.2;eor
        403;20190217;-999;-999;-999;    3;   0.0;   0;    9.000;   0;   4.8;   6.5; 1014.21;    4.8;   78.13;   14.4;   -1.2;   -3.7;eor
        403;20190218;-999;-999;-999;    3;   0.0;   0;    9.600;   0;   2.0;   6.4; 1009.15;    5.8;   73.92;   15.4;   -1.3;   -4.0;eor
        403;20190219;-999;-999;-999;    3;   0.5;   6;    0.900;   0;   6.1;   7.3; 1005.39;    6.2;   77.25;    9.8;    1.5;   -2.9;eor
        403;20190220;-999;-999;-999;    3;   0.3;   6;    1.700;   0;   6.8;   7.8; 1010.97;    7.5;   75.75;   10.1;    5.4;    1.7;eor
        403;20190221;-999;-999;-999;    3;   3.3;   6;    1.050;   0;   7.4;   9.0; 1013.34;    8.0;   83.04;   10.6;    5.7;    1.9;eor
        403;20190222;-999;-999;-999;    3;   0.1;   6;    7.000;   0;   3.5;   5.8; 1026.67;    3.4;   69.42;    8.6;   -2.5;   -5.3;eor
        403;20190223;-999;-999;-999;    3;   0.0;   0;    9.083;   0;   3.2;   3.4; 1033.40;   -0.2;   57.92;    5.1;   -4.0;   -5.8;eor
        403;20190224;-999;-999;-999;    3;   0.0;   0;    7.800;   0;   2.3;   3.9; 1028.89;    2.8;   55.46;   12.5;   -3.3;   -5.1;eor
        403;20190225;-999;-999;-999;    3;   0.0;   0;    9.683;   0;   4.1;   5.9; 1026.35;    5.9;   64.46;   13.7;   -1.9;   -4.5;eor
        403;20190226;-999;-999;-999;    3;   0.0;   0;    2.150;   0;   4.9;   7.4; 1022.65;    6.4;   76.54;   11.4;    2.2;   -2.0;eor
        403;20190227;-999;-999;-999;    3;   0.0;   0;    9.883;   0;   1.3;   5.6; 1015.17;    7.0;   62.29;   16.2;   -0.1;   -2.6;eor
        403;20190228;-999;-999;-999;    3;   0.0;   6;    7.750;   0;   3.8;   7.4; 1001.68;    7.8;   69.46;   12.6;    2.3;   -2.5;eor
        403;20190301;-999;-999;-999;    3;   0.0;   6;    0.000;   0;   7.6;   7.2; 1002.22;    4.3;   85.71;    5.4;    2.7;   -0.6;eor
        403;20190302;-999;-999;-999;    3;   0.4;   6;    0.000;   0;   7.5;   6.2; 1004.89;    3.8;   77.46;    5.5;    2.4;   -0.1;eor
        403;20190303;-999;-999;-999;    3;   1.0;   6;    0.000;   0;   7.8;   9.8;  996.03;    8.7;   86.83;   11.5;    4.1;    3.1;eor
        403;20190304;-999;-999;-999;    3;   2.7;   6;    1.667;   0;   5.7;   8.6;  983.77;    9.5;   72.63;   15.1;    6.1;    3.9;eor
        403;20190305;-999;-999;-999;    3;   0.8;   8;    3.117;   0;   5.2;   7.0;  992.50;    6.0;   75.63;    8.9;    1.7;   -1.9;eor
        403;20190306;-999;-999;-999;    3;   1.2;   6;    7.233;   0;   5.5;   7.0;  997.98;    6.7;   73.33;   12.7;    0.1;   -2.9;eor
        403;20190307;-999;-999;-999;    3;   0.2;   6;    1.950;   0;   5.7;   8.6;  987.66;   10.3;   69.25;   16.8;    7.2;    3.7;eor
        403;20190308;-999;-999;-999;    3;   2.2;   6;    3.833;   0;   4.1;   7.2;  996.02;    7.6;   68.50;    9.6;    4.5;   -0.4;eor
        403;20190309;-999;-999;-999;    3;   6.9;   8;    2.067;   0;   6.7;   7.9;  995.64;    7.1;   79.04;   11.6;    4.5;    2.5;eor
        403;20190310;-999;-999;-999;    3;  13.7;   8;    0.800;   0;   6.7;   7.2;  993.36;    4.4;   86.25;    7.7;    0.4;    0.0;eor
        403;20190311;-999;-999;-999;    3;   3.0;   6;    1.833;   0;   7.1;   7.0; 1000.67;    3.1;   91.67;    5.3;    1.3;    0.1;eor
        403;20190312;-999;-999;-999;    3;   0.7;   6;    3.217;   0;   7.1;   6.4; 1005.21;    5.4;   73.17;    9.5;    1.8;    1.3;eor
        403;20190313;-999;-999;-999;    3;   1.6;   6;    3.583;   0;   6.6;   6.4;  991.86;    7.3;   63.29;    9.6;    4.6;    2.1;eor
        403;20190314;-999;-999;-999;    3;  10.6;   6;    0.117;   0;   7.6;   8.3;  988.01;    5.7;   90.54;    8.4;    4.0;    3.1;eor
        403;20190315;-999;-999;-999;    3;   1.0;   6;    0.817;   0;   6.3;   8.1;  988.32;    7.5;   78.54;   10.0;    5.5;    4.5;eor
        403;20190316;-999;-999;-999;    3;   5.4;   6;    1.400;   0;   6.9;   8.0;  994.65;    6.5;   81.83;    8.7;    4.6;    3.8;eor
        403;20190317;-999;-999;-999;    3;   0.9;   8;    2.650;   0;   6.5;   8.1;  991.45;    8.3;   74.29;   13.0;    3.9;    1.1;eor
        403;20190318;-999;-999;-999;    3;   1.1;   8;    3.150;   0;   4.7;   6.5; 1001.68;    5.0;   75.38;    8.9;    2.8;    0.2;eor
        403;20190319;-999;-999;-999;    3;   0.0;   8;    3.550;   0;   4.3;   6.1; 1015.07;    4.4;   73.67;    8.3;   -0.6;   -3.5;eor
        403;20190320;-999;-999;-999;    3;   0.0;   0;    8.933;   0;   4.6;   6.5; 1022.39;    6.9;   68.75;   12.8;   -2.6;   -4.4;eor
        403;20190321;-999;-999;-999;    3;   0.0;   6;    0.717;   0;   6.3;  10.0; 1023.55;    9.5;   84.54;   11.9;    4.8;    0.9;eor
        403;20190322;-999;-999;-999;    3;   0.0;   0;    2.683;   0;   5.1;  10.1; 1022.17;    8.4;   91.96;   11.8;    4.7;    1.0;eor
        403;20190323;-999;-999;-999;    3;   0.0;   0;   10.317;   0;   5.1;   9.6; 1017.09;    9.5;   81.92;   16.2;    4.1;    1.0;eor
        403;20190324;-999;-999;-999;    3;   0.0;   8;    7.517;   0;   4.8;   6.6; 1014.91;    6.6;   69.75;   12.0;    2.5;   -1.6;eor
        403;20190325;-999;-999;-999;    3;   4.1;   8;    3.983;   0;   5.1;   6.8; 1006.07;    4.3;   82.33;    7.9;    1.4;   -0.3;eor
        403;20190326;-999;-999;-999;    3;   1.1;   8;    2.517;   0;   5.7;   7.2; 1014.01;    4.9;   83.83;    7.8;    1.6;   -0.4;eor
        403;20190327;-999;-999;-999;    3;   2.4;   6;    0.483;   0;   7.2;   9.0; 1019.19;    7.3;   87.92;    9.9;    3.3;   -0.3;eor
        403;20190328;-999;-999;-999;    3;   0.8;   6;    0.000;   0;   8.0;  11.0; 1022.39;    8.7;   98.04;   10.0;    7.9;    7.6;eor
        403;20190329;-999;-999;-999;    3;   0.0;   0;    0.000;   0;   6.8;  10.1; 1021.75;    9.4;   86.58;   12.1;    4.1;    0.3;eor
        403;20190330;-999;-999;-999;    3;   0.0;   0;   11.250;   0;   4.2;   8.2; 1012.55;   10.2;   70.21;   18.6;    2.2;   -1.1;eor
        403;20190331;-999;-999;-999;    3;   0.0;   0;    6.300;   0;   2.7;   6.8; 1012.98;    8.0;   63.29;   11.9;    1.4;   -3.4;eor
        403;20190401;-999;-999;-999;    3;   0.0;   0;   12.417;   0;   0.1;   4.8; 1016.39;    5.7;   54.63;   12.2;   -2.0;   -5.2;eor
        403;20190402;-999;-999;-999;    3;   0.0;   0;   10.750;   0;   3.3;   5.9; 1003.67;    8.8;   51.71;   15.7;    2.1;   -1.9;eor
        403;20190403;-999;-999;-999;    3;   0.0;   0;    8.767;   0;   6.3;   8.8;  994.09;   13.1;   59.50;   19.7;    7.1;    3.8;eor
        403;20190404;-999;-999;-999;    3;   0.0;   0;   11.483;   0;   3.2;   9.2;  989.57;   14.4;   56.75;   20.9;    7.8;    2.3;eor
        403;20190405;-999;-999;-999;    3;   0.0;   0;    5.067;   0;   5.6;   9.7;  995.58;   10.4;   77.25;   14.6;    6.0;    2.7;eor
        403;20190406;-999;-999;-999;    3;   0.0;   0;   11.683;   0;   1.5;   9.2;  997.80;   14.6;   58.50;   22.1;    7.1;    3.0;eor
        403;20190407;-999;-999;-999;    3;   0.0;   0;   12.200;   0;   0.4;   8.0;  998.56;   13.7;   52.25;   19.8;    6.5;    1.4;eor
        403;20190408;-999;-999;-999;    3;   0.0;   6;   11.017;   0;   0.7;   8.0; 1000.70;   11.9;   60.04;   20.0;    4.0;    0.0;eor
        403;20190409;-999;-999;-999;    3;   0.0;   0;   11.317;   0;   3.2;   6.7; 1005.07;    7.1;   67.71;   12.4;    3.3;   -1.2;eor
        403;20190410;-999;-999;-999;    3;   0.0;   0;    6.833;   0;   5.0;   5.5; 1008.37;    5.6;   61.88;   10.5;    1.1;   -2.9;eor
