binomial_name,country,continent,group,year_last_seen,threat_NA,action_NA,red_list_category,threat,threathened,action,actioned
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,AA,0,LWP,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,AA,0,SM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,AA,0,LP,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,AA,0,RM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,AA,0,EA,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,BRU,0,LWP,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,BRU,0,SM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,BRU,0,LP,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,BRU,0,RM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,BRU,0,EA,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,RCD,0,LWP,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,RCD,0,SM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,RCD,0,LP,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,RCD,0,RM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,RCD,0,EA,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,ISGD,1,LWP,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,ISGD,1,SM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,ISGD,1,LP,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,ISGD,1,RM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,ISGD,1,EA,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,EPM,0,LWP,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,EPM,0,SM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,EPM,0,LP,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,EPM,0,RM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,EPM,0,EA,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,CC,0,LWP,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,CC,0,SM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,CC,0,LP,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,CC,0,RM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,CC,0,EA,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,HID,0,LWP,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,HID,0,SM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,HID,0,LP,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,HID,0,RM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,HID,0,EA,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,P,0,LWP,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,P,0,SM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,P,0,LP,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,P,0,RM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,P,0,EA,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,TS,0,LWP,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,TS,0,SM,1
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,TS,0,LP,0
Abutilon pitcairnense,Pitcairn,Oceania,Flowering Plant,2000-2020,NA,NA,Extinct in the Wild,TS,0,RM,1
